query,intent,response,entities
hello,greet,Hey! How may I help you today?,
how are you,greet,Hello! How can I assist you today?,
hi,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
hey,greet,Hey! How may I help you today?,
how are you,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
hey,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
how are you,greet,Hi there! What can I do for you?,
hey,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
hi,greet,Hi there! What can I do for you?,
good evening,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
hey,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
how are you,greet,Hi there! What can I do for you?,
hey,greet,Hey! How may I help you today?,
good evening,greet,Hey! How may I help you today?,
how are you,greet,Hi there! What can I do for you?,
good evening,greet,Hi there! What can I do for you?,
good evening,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
how are you,greet,Hey! How may I help you today?,
good evening,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
hi,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
hi,greet,Hi there! What can I do for you?,
good afternoon,greet,Hello! How can I assist you today?,
hello,greet,Hello! How can I assist you today?,
hi,greet,Hey! How may I help you today?,
good morning,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
good evening,greet,Hello! How can I assist you today?,
good afternoon,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
hello,greet,Hey! How may I help you today?,
how are you,greet,Hello! How can I assist you today?,
good morning,greet,Hello! How can I assist you today?,
good evening,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
hey,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
hey,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
hi,greet,Hi there! What can I do for you?,
how are you,greet,Hello! How can I assist you today?,
good afternoon,greet,Hi there! What can I do for you?,
hello,greet,Hi there! What can I do for you?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
good morning,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
hey,greet,Hello! How can I assist you today?,
hi,greet,Hi there! What can I do for you?,
hey,greet,Hello! How can I assist you today?,
good afternoon,greet,Hello! How can I assist you today?,
good afternoon,greet,Hey! How may I help you today?,
good afternoon,greet,Hi there! What can I do for you?,
good afternoon,greet,Hello! How can I assist you today?,
good afternoon,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
hi,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
good afternoon,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
good evening,greet,Hey! How may I help you today?,
good evening,greet,Hi there! What can I do for you?,
hi,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hi there! What can I do for you?,
hello,greet,Hello! How can I assist you today?,
good afternoon,greet,Hi there! What can I do for you?,
good afternoon,greet,Hello! How can I assist you today?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hi there! What can I do for you?,
hey,greet,Hello! How can I assist you today?,
good afternoon,greet,Hi there! What can I do for you?,
good afternoon,greet,Hey! How may I help you today?,
how are you,greet,Hey! How may I help you today?,
hi,greet,Hey! How may I help you today?,
hi,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
good morning,greet,Hello! How can I assist you today?,
good morning,greet,Hi there! What can I do for you?,
hey,greet,Hello! How can I assist you today?,
good afternoon,greet,Hello! How can I assist you today?,
how are you,greet,Hi there! What can I do for you?,
hey,greet,Hey! How may I help you today?,
good morning,greet,Hey! How may I help you today?,
good evening,greet,Hi there! What can I do for you?,
how are you,greet,Hi there! What can I do for you?,
hey,greet,Hi there! What can I do for you?,
good evening,greet,Hello! How can I assist you today?,
how are you,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
good morning,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
hello,greet,Hey! How may I help you today?,
hey,greet,Hi there! What can I do for you?,
how are you,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
good morning,greet,Hello! How can I assist you today?,
good afternoon,greet,Hey! How may I help you today?,
how are you,greet,Hey! How may I help you today?,
hey,greet,Hello! How can I assist you today?,
good evening,greet,Hi there! What can I do for you?,
good evening,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
hi,greet,Hey! How may I help you today?,
how are you,greet,Hi there! What can I do for you?,
how are you,greet,Hey! How may I help you today?,
how are you,greet,Hi there! What can I do for you?,
good morning,greet,Hi there! What can I do for you?,
hello,greet,Hello! How can I assist you today?,
hello,greet,Hi there! What can I do for you?,
hello,greet,Hey! How may I help you today?,
hi,greet,Hi there! What can I do for you?,
good afternoon,greet,Hello! How can I assist you today?,
good evening,greet,Hey! How may I help you today?,
hi,greet,Hello! How can I assist you today?,
hi,greet,Hey! How may I help you today?,
good morning,greet,Hello! How can I assist you today?,
good evening,greet,Hello! How can I assist you today?,
hey,greet,Hey! How may I help you today?,
hello,greet,Hey! How may I help you today?,
how are you,greet,Hey! How may I help you today?,
hi,greet,Hi there! What can I do for you?,
good afternoon,greet,Hi there! What can I do for you?,
good evening,greet,Hi there! What can I do for you?,
good evening,greet,Hello! How can I assist you today?,
how are you,greet,Hey! How may I help you today?,
good evening,greet,Hello! How can I assist you today?,
good morning,greet,Hey! How may I help you today?,
how are you,greet,Hey! How may I help you today?,
good morning,greet,Hi there! What can I do for you?,
hello,greet,Hello! How can I assist you today?,
hi,greet,Hello! How can I assist you today?,
see you soon,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
talk to you later,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
bye,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
see you,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
bye,goodbye,See you next time!,
talk to you later,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
bye,goodbye,Bye! Come back soon!,
goodbye,goodbye,Bye! Come back soon!,
see you,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Bye! Come back soon!,
see you,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
see you,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
bye,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
bye,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,See you next time!,
bye,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
see you soon,goodbye,See you next time!,
bye,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
see you soon,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
bye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
bye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
bye,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Bye! Come back soon!,
bye,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
bye,goodbye,Bye! Come back soon!,
see you,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,See you next time!,
see you,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Bye! Come back soon!,
talk to you later,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
bye,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
goodbye,goodbye,Bye! Come back soon!,
see you,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
see you soon,goodbye,Bye! Come back soon!,
talk to you later,goodbye,Goodbye! Have a great day!,
see you,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
talk to you later,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
see you soon,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
see you,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
bye,goodbye,See you next time!,
see you,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Bye! Come back soon!,
talk to you later,goodbye,Bye! Come back soon!,
goodbye,goodbye,Bye! Come back soon!,
see you soon,goodbye,Bye! Come back soon!,
see you soon,goodbye,Bye! Come back soon!,
see you soon,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
bye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
talk to you later,goodbye,See you next time!,
bye,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
see you soon,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
talk to you later,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
see you,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
bye,goodbye,See you next time!,
talk to you later,goodbye,See you next time!,
see you soon,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
see you soon,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
see you soon,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
bye,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
bye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
see you,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
see you,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
bye,goodbye,See you next time!,
bye,goodbye,See you next time!,
talk to you later,goodbye,See you next time!,
bye,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
bye,goodbye,Bye! Come back soon!,
talk to you later,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Bye! Come back soon!,
goodbye,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
see you soon,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Bye! Come back soon!,
see you,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
see you,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
bye,goodbye,See you next time!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
bye,goodbye,See you next time!,
see you,goodbye,See you next time!,
see you soon,goodbye,See you next time!,
goodbye,goodbye,Bye! Come back soon!,
talk to you later,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,See you next time!,
see you,goodbye,Bye! Come back soon!,
see you,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,See you next time!,
see you,goodbye,See you next time!,
see you,goodbye,See you next time!,
see you,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
bye,goodbye,Bye! Come back soon!,
bye,goodbye,See you next time!,
see you soon,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,See you next time!,
see you,goodbye,Bye! Come back soon!,
see you,goodbye,Bye! Come back soon!,
see you,goodbye,See you next time!,
goodbye,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
bye,goodbye,Bye! Come back soon!,
bye,goodbye,See you next time!,
talk to you later,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Bye! Come back soon!,
talk to you later,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
goodbye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Bye! Come back soon!,
goodbye,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
bye,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
see you,goodbye,Bye! Come back soon!,
see you soon,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,Goodbye! Have a great day!,
talk to you later,goodbye,See you next time!,
see you,goodbye,Goodbye! Have a great day!,
see you,goodbye,Bye! Come back soon!,
see you soon,goodbye,Bye! Come back soon!,
goodbye,goodbye,Goodbye! Have a great day!,
see you soon,goodbye,See you next time!,
goodbye,goodbye,Goodbye! Have a great day!,
see you,goodbye,See you next time!,
see you,goodbye,Bye! Come back soon!,
tell me my balance,check_balance,Please provide your account number to check your balance.,
how much money do I have,check_balance,Please provide your account number to check your balance.,
balance enquiry,check_balance,Sure! Could you tell me your account number?,
what is my balance,check_balance,I can help with that. Please provide your account number for verification.,
what is my balance,check_balance,Sure! Could you tell me your account number?,
show account balance,check_balance,Sure! Could you tell me your account number?,
tell me my balance,check_balance,Sure! Could you tell me your account number?,
show account balance,check_balance,I can help with that. Please provide your account number for verification.,
tell me my balance,check_balance,Sure! Could you tell me your account number?,
show account balance,check_balance,Please provide your account number to check your balance.,
balance enquiry,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,I can help with that. Please provide your account number for verification.,
balance enquiry,check_balance,I can help with that. Please provide your account number for verification.,
tell me my balance,check_balance,I can help with that. Please provide your account number for verification.,
balance enquiry,check_balance,Please provide your account number to check your balance.,
balance enquiry,check_balance,Please provide your account number to check your balance.,
show account balance,check_balance,Sure! Could you tell me your account number?,
check balance,check_balance,Please provide your account number to check your balance.,
what is my balance,check_balance,Please provide your account number to check your balance.,
how much money do I have,check_balance,Please provide your account number to check your balance.,
tell me my balance,check_balance,Sure! Could you tell me your account number?,
how much money do I have,check_balance,I can help with that. Please provide your account number for verification.,
balance enquiry,check_balance,Please provide your account number to check your balance.,
what is my balance,check_balance,I can help with that. Please provide your account number for verification.,
show account balance,check_balance,Sure! Could you tell me your account number?,
what is my balance,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,Sure! Could you tell me your account number?,
balance enquiry,check_balance,Sure! Could you tell me your account number?,
check balance,check_balance,Sure! Could you tell me your account number?,
what is my balance,check_balance,Sure! Could you tell me your account number?,
show account balance,check_balance,Sure! Could you tell me your account number?,
balance enquiry,check_balance,Sure! Could you tell me your account number?,
show account balance,check_balance,Please provide your account number to check your balance.,
what is my balance,check_balance,Sure! Could you tell me your account number?,
tell me my balance,check_balance,Please provide your account number to check your balance.,
tell me my balance,check_balance,Please provide your account number to check your balance.,
balance enquiry,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,Please provide your account number to check your balance.,
balance enquiry,check_balance,Sure! Could you tell me your account number?,
check balance,check_balance,Sure! Could you tell me your account number?,
balance enquiry,check_balance,Please provide your account number to check your balance.,
what is my balance,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,Sure! Could you tell me your account number?,
check balance,check_balance,Please provide your account number to check your balance.,
tell me my balance,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,Please provide your account number to check your balance.,
what is my balance,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,Sure! Could you tell me your account number?,
tell me my balance,check_balance,I can help with that. Please provide your account number for verification.,
balance enquiry,check_balance,Sure! Could you tell me your account number?,
check balance,check_balance,Sure! Could you tell me your account number?,
balance enquiry,check_balance,I can help with that. Please provide your account number for verification.,
tell me my balance,check_balance,I can help with that. Please provide your account number for verification.,
check balance,check_balance,Please provide your account number to check your balance.,
check balance,check_balance,Sure! Could you tell me your account number?,
what is my balance,check_balance,Sure! Could you tell me your account number?,
tell me my balance,check_balance,I can help with that. Please provide your account number for verification.,
what is my balance,check_balance,I can help with that. Please provide your account number for verification.,
check balance,check_balance,I can help with that. Please provide your account number for verification.,
what is my balance,check_balance,Please provide your account number to check your balance.,
balance enquiry,check_balance,Please provide your account number to check your balance.,
what is my balance,check_balance,I can help with that. Please provide your account number for verification.,
